id_cidade;nome;LATITUDE;LONGITUDE
300397;Almirante Tamandaré do Sul;-28,11541338;-52,91466576
303381;Aloândia;-17,72893543;-49,48127453
302725;Alpercata;-18,97446742;-41,97035291
305314;Alpestre;-27,25062852;-53,0345808
303323;Alpinópolis;-20,86353027;-46,38818695
304553;Alta Floresta;-9,867158944;-56,08713018
304303;Alta Floresta D'Oeste;-11,92873712;-61,99579969
303702;Altair;-20,52399243;-49,05894969
304146;Altamira;-3,204452656;-52,21036076
303588;Altamira do Maranhão;-4,166375744;-45,47097567
305052;Altamira do Paraná;-24,79875869;-52,71327151
300834;Altaneira;-6,998787014;-39,73592236
303496;Alterosa;-21,24922515;-46,13905527
301113;Altinho;-8,487793235;-36,05954876
303653;Altinópolis;-21,02183353;-47,37159691
305397;Alto Alegre;-28,77733722;-52,98971496
305887;Alto Alegre;2,988222481;-61,30761245
303881;Alto Alegre;-21,58099123;-50,16394766
301857;Alto Alegre do Maranhão;-4,213396595;-44,44635303
303194;Alto Alegre do Pindaré;-3,667278714;-45,84247283
304291;Alto Alegre dos Parecis;-12,14052995;-61,83791304
304788;Alto Araguaia;-17,31576856;-53,21854881
305585;Alto Bela Vista;-27,4338195;-51,90488246
304193;Alto Boa Vista;-11,67214797;-51,37759051
302673;Alto Caparaó;-20,43145947;-41,87412944
300539;Alto do Rodrigues;-5,293055046;-36,76164325
305483;Alto Feliz;-29,38019389;-51,31352682
305731;Alto Garças;-16,94666876;-53,52763374
302797;Alto Horizonte;-14,19850226;-49,33680514
303569;Alto Jequitibá;-20,42132423;-41,96734609
301783;Alto Longá;-5,256744756;-42,20992077
304236;Alto Paraguai;-14,51414132;-56,47806573
304323;Alto Paraíso;-9,714698426;-63,31929388
302301;Alto Paraíso de Goiás;-14,13996581;-47,51768909
304807;Alto Paraná;-23,13170998;-52,31932747
302073;Alto Parnaíba;-9,110273807;-45,93359562
305042;Alto Piquiri;-24,02288887;-53,44048919
303094;Alto Rio Doce;-21,02860049;-43,40705281
302525;Alto Rio Novo;-19,06227259;-41,02125727
300975;Alto Santo;-5,509348405;-38,27462955
304789;Alto Taquari;-17,83020499;-53,28242384
305761;Altônia;-23,87637623;-53,89625538
301777;Altos;-5,039281328;-42,46150035
303761;Alumínio;-23,5310306;-47,25497427
304253;Alvarães;-3,227652405;-64,80111421
302543;Alvarenga;-19,4178787;-41,73209415
303437;Álvares Florence;-20,32099298;-49,91094848
304686;Álvares Machado;-22,07687755;-51,47266603
303892;Álvaro de Carvalho;-22,07897885;-49,72068626
314521;Alvear;-29,10202613;-56,565982
303895;Alvinlândia;-22,44394899;-49,76273943
302829;Alvinópolis;-20,11024679;-43,05385212
302296;Alvorada;-12,47889893;-49,12531646
305498;Alvorada;-29,99188068;-51,08131008
302719;Alvorada de Minas;-18,73383175;-43,36417123
302060;Alvorada do Gurguéia;-8,424603591;-43,77736754
302868;Alvorada do Norte;-14,48444141;-46,49433439
305740;Alvorada do Sul;-22,78174705;-51,23013568
304298;Alvorada D'Oeste;-11,34668106;-62,28515501
305886;Amajari;3,653084583;-61,41854609
305238;Amambaí;-23,10621476;-55,22577847
305895;Amapá;2,052309988;-50,79604435
301808;Amapá do Maranhão;-1,675621773;-46,00280381
304869;Amaporã;-23,0947336;-52,78703418
301354;Amaraji;-8,377341141;-35,45034377
305544;Amaral Ferrador;-30,87605686;-52,2514159
302796;Amaralina;-13,92790243;-49,29829914
301799;Amarante;-6,244870154;-42,85076141
301954;Amarante do Maranhão;-5,569532886;-46,74765251
301727;Amargosa;-13,03188517;-39,59723404
305846;Amaturá;-3,363205451;-68,19951213
314377;Ambo;-10,13027122;-76,19266689
301389;Amélia Rodrigues;-12,39757799;-38,75352516
301493;América Dourada;-11,44337702;-41,43934584
304584;Americana;-22,73783504;-47,33352043
302612;Americano do Brasil;-16,25304472;-49,97985118
303683;Américo Brasiliense;-21,72924101;-48,11507372
303421;Américo de Campos;-20,29899296;-49,73194875
305381;Ametista do Sul;-27,36112523;-53,18346017
300690;Amontada;-3,363236239;-39,8295876
304516;Amorinópolis;-16,6199946;-51,09475311
300666;Amparo;-7,567367989;-37,06301796
303645;Amparo;-22,70926635;-46,77241958
302362;Amparo de São Francisco;-10,13527847;-36,93529824
302754;Amparo do Serra;-20,50554583;-42,80123226
305267;Ampére;-25,91725667;-53,46909121
